iter	Passed	Remaining
0	2	2335
1	4	2380
2	7	2328
3	9	2290
4	12	2388
5	15	2493
6	18	2655
7	21	2618
8	23	2619
9	26	2654
10	31	2794
11	34	2809
12	38	2895
13	40	2858
14	44	2905
15	47	2922
16	51	2969
17	53	2899
18	55	2862
19	58	2864
20	62	2913
21	65	2896
22	67	2883
23	70	2879
24	73	2871
25	77	2892
26	80	2909
27	83	2906
28	86	2907
29	90	2910
30	93	2922
31	96	2917
32	99	2923
33	102	2910
34	105	2912
35	109	2928
36	112	2930
37	115	2933
38	118	2924
39	121	2926
40	125	2940
41	129	2949
42	132	2952
43	135	2951
44	140	2983
45	143	2982
46	147	2987
47	150	2979
48	152	2966
49	156	2967
50	158	2946
51	160	2934
52	163	2920
53	166	2910
54	169	2903
55	172	2912
56	175	2908
57	178	2894
58	180	2885
59	183	2875
60	186	2869
61	189	2869
62	192	2859
63	194	2851
64	196	2830
65	198	2807
66	201	2800
67	204	2797
68	206	2792
69	209	2785
70	212	2776
71	214	2765
72	216	2755
73	220	2755
74	222	2747
75	224	2733
76	226	2719
77	229	2709
78	232	2707
79	235	2708
80	238	2704
81	240	2696
82	243	2687
83	247	2694
84	250	2695
85	254	2700
86	256	2695
87	259	2687
88	262	2683
89	264	2676
90	267	2675
91	270	2669
92	273	2662
93	274	2644
94	276	2633
95	279	2630
96	282	2628
97	285	2624
98	287	2620
99	290	2611
100	293	2613
101	295	2605
102	298	2602
103	302	2602
104	304	2597
105	307	2592
106	310	2589
107	313	2592
108	317	2594
109	320	2596
110	324	2597
111	327	2592
112	329	2588
113	333	2594
114	336	2587
115	339	2584
116	342	2582
117	344	2578
118	347	2573
119	350	2572
120	353	2568
121	355	2561
122	358	2557
123	361	2551
124	364	2554
125	367	2550
126	370	2545
127	373	2547
128	376	2543
129	380	2543
130	383	2541
131	385	2532
132	387	2527
133	390	2523
134	392	2517
135	396	2517
136	399	2513
137	401	2508
138	404	2503
139	406	2498
140	409	2496
141	412	2491
142	415	2489
143	418	2486
144	420	2482
145	423	2478
146	426	2474
147	429	2470
148	431	2466
149	434	2461
150	437	2457
151	439	2453
152	443	2454
153	446	2453
154	447	2441
155	450	2436
156	453	2434
157	456	2430
158	459	2431
159	462	2428
160	465	2426
161	468	2425
162	471	2419
163	474	2419
164	476	2413
165	479	2409
166	481	2403
167	484	2398
168	486	2392
169	489	2391
170	492	2389
171	495	2385
172	498	2382
173	500	2377
174	503	2373
175	506	2372
176	509	2370
177	512	2366
178	516	2369
179	518	2363
180	522	2362
181	525	2360
182	528	2358
183	531	2354
184	533	2351
185	536	2349
186	539	2347
187	542	2343
188	544	2338
189	547	2336
190	550	2332
191	554	2333
192	557	2331
193	560	2329
194	563	2326
195	566	2322
196	569	2320
197	571	2316
198	574	2311
199	576	2307
200	579	2303
201	582	2300
202	584	2296
203	587	2292
204	590	2288
205	592	2283
206	593	2273
207	596	2270
208	598	2265
209	602	2265
210	604	2261
211	607	2257
212	610	2254
213	613	2252
214	615	2248
215	618	2246
216	621	2242
217	624	2238
218	626	2235
219	629	2232
220	633	2232
221	636	2230
222	639	2227
223	642	2224
224	646	2226
225	649	2224
226	652	2223
227	656	2222
228	659	2221
229	663	2219
230	665	2215
231	667	2210
232	670	2206
233	672	2202
234	675	2198
235	677	2193
236	679	2188
237	681	2181
238	682	2174
239	684	2168
240	686	2162
241	688	2155
242	689	2148
243	690	2140
244	692	2133
245	693	2125
246	695	2120
247	697	2114
248	699	2110
249	701	2104
250	703	2099
251	705	2093
252	706	2087
253	708	2081
254	711	2077
255	714	2075
256	716	2070
257	718	2066
258	720	2060
259	722	2056
260	724	2051
261	726	2047
262	729	2045
263	733	2043
264	735	2039
265	738	2038
266	741	2034
267	745	2035
268	748	2034
269	751	2031
270	754	2029
271	757	2027
272	761	2026
273	764	2026
274	767	2023
275	770	2020
276	773	2018
277	776	2016
278	780	2015
279	783	2014
280	786	2011
281	788	2008
282	793	2010
283	796	2007
284	798	2002
285	801	2000
286	803	1996
287	806	1992
288	810	1992
289	813	1990
290	815	1987
291	818	1983
292	820	1980
293	823	1978
294	826	1976
295	829	1973
296	832	1969
297	834	1964
298	837	1962
299	840	1960
300	843	1959
301	847	1957
302	849	1954
303	852	1952
304	856	1950
305	858	1947
306	861	1943
307	864	1941
308	867	1940
309	870	1937
310	874	1936
311	877	1934
312	879	1930
313	881	1926
314	884	1923
315	887	1922
316	891	1920
317	893	1917
318	896	1914
319	899	1910
320	903	1910
321	906	1909
322	909	1906
323	912	1903
324	914	1899
325	916	1894
326	919	1891
327	921	1888
328	925	1886
329	928	1884
330	930	1881
331	933	1878
332	936	1876
333	940	1874
334	942	1871
335	945	1868
336	948	1866
337	951	1864
338	954	1861
339	957	1857
340	960	1855
341	963	1853
342	965	1848
343	967	1844
344	970	1842
345	973	1840
346	976	1838
347	980	1836
348	981	1831
349	985	1830
350	988	1828
351	991	1825
352	994	1822
353	997	1820
354	1001	1819
355	1003	1816
356	1006	1812
357	1009	1810
358	1012	1807
359	1015	1805
360	1018	1803
361	1021	1800
362	1024	1797
363	1026	1793
364	1029	1790
365	1033	1789
366	1035	1786
367	1039	1784
368	1042	1782
369	1045	1779
370	1048	1777
371	1050	1774
372	1053	1770
373	1056	1767
374	1058	1764
375	1061	1761
376	1064	1759
377	1067	1757
378	1070	1754
379	1073	1751
380	1076	1748
381	1081	1748
382	1084	1746
383	1087	1744
384	1090	1742
385	1093	1738
386	1096	1736
387	1098	1732
388	1101	1729
389	1103	1726
390	1106	1723
391	1108	1719
392	1111	1717
393	1113	1713
394	1115	1708
395	1118	1706
396	1121	1703
397	1123	1699
398	1126	1697
399	1129	1693
400	1131	1690
401	1133	1686
402	1135	1681
403	1137	1677
404	1139	1673
405	1141	1669
406	1143	1665
407	1145	1662
408	1148	1659
409	1150	1655
410	1151	1650
411	1154	1647
412	1156	1644
413	1159	1640
414	1161	1637
415	1163	1633
416	1165	1629
417	1167	1625
418	1169	1621
419	1170	1616
420	1173	1613
